MACaddress,Distance,RSSI
00:19:01:70:82:cb,2.5,-49
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-51
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-71
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-48
00:19:01:70:85:c3,2.5,-70
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-69
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-48
00:19:01:70:81:ed,2.5,-53
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-48
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-63
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-70
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:82:cb,2.5,-55
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-48
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-64
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-50
00:19:01:70:82:cb,2.5,-51
00:19:01:70:85:c3,2.5,-64
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-50
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-59
00:19:01:70:82:cb,2.5,-48
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-70
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-51
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-51
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-55
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-51
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-48
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-49
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-50
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-55
00:19:01:70:81:ed,2.5,-50
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-63
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-51
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-49
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-72
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-50
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-72
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-66
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-72
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-66
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-57
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-52
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:81:ed,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-72
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-50
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-65
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-72
00:19:01:70:85:c3,2.5,-68
00:19:01:70:82:cb,2.5,-56
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-63
00:19:01:70:81:ed,2.5,-52
00:19:01:70:82:cb,2.5,-50
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-57
00:19:01:70:85:c3,2.5,-71
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-71
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-72
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-50
00:19:01:70:85:c3,2.5,-72
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-68
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-56
00:19:01:70:85:c3,2.5,-67
00:19:01:70:81:ed,2.5,-63
00:19:01:70:82:cb,2.5,-52
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-51
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
00:19:01:70:85:c3,2.5,-67
00:19:01:70:85:c3,2.5,-65
00:19:01:70:81:ed,2.5,-53
00:19:01:70:82:cb,2.5,-55
00:19:01:70:81:ed,2.5,-63
00:19:01:70:85:c3,2.5,-68
00:19:01:70:85:c3,2.5,-64
00:19:01:70:82:cb,2.5,-50
00:19:01:70:81:ed,2.5,-53
