MACaddress,Distance,RSSI
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-55
00:19:01:70:82:62,2.9,-63
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-54
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-56
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-67
00:19:01:70:81:ed,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-67
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-68
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-76
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-54
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-56
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:85:c3,2.9,-56
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-55
00:19:01:70:82:62,2.9,-69
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:62,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-55
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:85:c3,2.9,-56
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-54
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-69
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-60
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-53
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-55
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-78
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-54
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-68
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-55
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-54
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-56
00:19:01:70:81:ed,2.9,-78
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-56
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-63
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-59
00:19:01:70:82:62,2.9,-66
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-76
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-57
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:82:62,2.9,-69
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-66
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-62
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-54
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:62,2.9,-67
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:81:ed,2.9,-71
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-56
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:cb,2.9,-57
00:19:01:70:85:c3,2.9,-57
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-77
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-57
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:cb,2.9,-61
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-55
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-77
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-67
00:19:01:70:82:cb,2.9,-59
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-66
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-56
00:19:01:70:82:62,2.9,-63
00:19:01:70:82:cb,2.9,-60
00:19:01:70:81:ed,2.9,-76
00:19:01:70:85:c3,2.9,-63
00:19:01:70:82:cb,2.9,-61
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
00:19:01:70:82:62,2.9,-70
00:19:01:70:82:cb,2.9,-57
00:19:01:70:81:ed,2.9,-71
00:19:01:70:85:c3,2.9,-56
00:19:01:70:85:c3,2.9,-62
00:19:01:70:82:62,2.9,-67
00:19:01:70:81:ed,2.9,-66
00:19:01:70:85:c3,2.9,-66
